lesson_question_map_id ,lesson_id                            ,question_id                          ,order
                    43 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,1adeff1a-413b-421b-90e5-18eed32a7cf1 ,   24
                    44 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,0b283d11-4a61-4dd0-ab78-ef01bb2cab4b ,   26
                    45 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,d99dfd76-b88a-4b52-96f0-5b8d8846bcdc ,   28
                    46 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,c7a0cbdb-0200-4397-be43-5bcc2550b6db ,    1
                    47 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,9811a2bd-a9ab-432f-928c-6cbe97a48ce1 ,    3
                    48 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,e4179c4c-678c-4cef-b411-c85bfdfbe9d6 ,    5
                    49 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,ef56915e-2a28-422a-9d8d-0f6446240943 ,    7
                    50 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,a9b39e82-f9d2-483a-980d-cdd7db549dda ,    9
                    51 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,9b050c13-dc10-4f5d-89c1-06bef650318e ,   11
                    52 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,3ba6459b-ab67-4976-9614-813c9731a3ab ,   13
                    53 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,cf20a68e-911b-44ac-8625-d677d68054b0 ,   15
                    54 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,fd12a8a2-eaf7-4fcb-bdb0-a031e9508a84 ,   17
                    55 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,f0b61781-3b69-4aee-b75e-d45eae553c1b ,   19
                    57 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,ced17917-9f2d-4788-be0b-db08debef5fa ,   23
                    58 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,92c36e07-d93b-4a02-b556-be07b789cf5e ,   25
                    59 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,46de05b0-9d31-41f1-9c40-547c2636bd77 ,   27
                    60 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,ae676256-538b-4859-9f7c-87353977f4da ,    6
                    61 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,d3226479-98d4-402d-89b0-f901b45a7b35 ,   12
                    62 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,696c0bdf-d52b-4842-823d-f89090974254 ,   22
                    63 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,   29
                    64 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,5738e467-6588-4ba0-94a4-b18058bebf91 ,    1
                    65 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,f8d41eef-65b0-40ef-b98a-f21dadfc6342 ,    2
                    66 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,ee124825-a425-4e9a-b101-cafb6f7f89bf ,    3
                    67 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,b415eb9f-562c-41e0-8a58-15796ca6a5b2 ,    4
                    68 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,7f77e501-8eed-4e18-8a5c-5796081cc35d ,    5
                    69 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,06a52833-ee83-4e80-a8ce-65dfba48e70d ,    6
                    70 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,824a13c5-a07c-4100-87a9-93bb58ce9eb9 ,    7
                    71 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,d5a481e5-d996-4e27-a4f6-b78a92f5d33e ,    8
